name,type,units,cost,total
JAMES,jacket,87,71.0,6177
PETER,jacket,84,71.0,5964
JONNY,jacket,22,65.0,1430
CUSACK,jacket,12,65.0,780
HOGAN,jacket,13,65.0,845
SIMON,jacket,53,69.0,3657
HARROLD,jacket,56,69.0,3864
PEAK TUX,jacket,98,75.0,7350
SHAWL TUX,jacket,31,75.0,2325
HERBIE FROGG,jacket,91,95.0,8645
ELTON,jacket,14,75.0,1050
BROCADE SCOPES,jacket,5,60.0,300
REMUS WHITE ,jacket,2,75.0,150
SKOPES D/BREAST,jacket,9,60.0,540
H/FROGG NAVY TUX,jacket,19,75.0,1425
H/FROGG BLACK TUX,jacket,28,95.0,2660
VELVET,jacket,46,75.0,3450
HARCOURT,jacket,28,60.0,1680
HERBIE FROGG BLAZERS,jacket,14,110.0,1540
WHITE DRESS JKT,jacket,8,95.0,760
ANDREW,jacket,10,75.0,750
PHILIP,jacket,26,75.0,1950
STANLEY,jacket,15,75.0,1125
ALBERT,jacket,29,65.0,1885
EDINA,jacket,21,65.0,1365
DARCY BROCADE,jacket,1,65.0,65
SPIN SUITS,suit,8,75.0,600
ANTOINE  SUITS,suit,22,75.0,1650
HERBIE FROGG  CHECK,suit,17,125.0,2125
HERBIE FROGG BLUE,suit,6,125.0,750
HERBIE FROGG LIGHT BLUE,suit,9,125.0,1125
SKOPES CREAM,suit,31,95.0,2945
ZAC SUITS,suit,4,75.0,300
NAPOLI  SUITS,suit,26,75.0,1950
CEDRO   SUITS,suit,7,75.0,525
LONDON  SUITS,suit,37,115.0,4255
TORINO   SUITS,suit,10,110.0,1100
TOM    SUITS,suit,6,115.0,690
PRAGUE  SUITS,suit,9,115.0,1035
WHITE LABEL  SUITS,suit,3,95.0,285
BARUTTI SUITS,suit,13,95.0,1235
OLD HERBIE FROGG SUITS,suit,4,125.0,500
ASTON TEAL SUITS,suit,23,95.0,2185
HAAS SUITS,suit,13,95.0,1235
REMUS UOMO SUITS,suit,10,95.0,950
LESTER SUITS,suit,17,95.0,1615
CARL GROSS SUITS,suit,15,80.0,1200
JAMES,waistcoat,113,21.0,2373
PETER,waistcoat,65,21.0,1365
JONNY,waistcoat,42,20.0,840
CUSACK,waistcoat,16,20.0,320
HOGAN,waistcoat,29,20.0,580
SIMON,waistcoat,116,25.0,2900
HARROLD,waistcoat,78,25.0,1950
JULIUS,waistcoat,11,25.0,275
ANTHONY,waistcoat,10,25.0,250
HERBIE FROGG,waistcoat,96,30.0,2880
ELTON,waistcoat,20,25.0,500
H/FROGG NAVY,waistcoat,22,30.0,660
H/FROGG BLACK,waistcoat,17,30.0,510
ASSORTED,waistcoat,58,25.0,1450
NAPOLI,waistcoat,8,25.0,200
KEVIN,waistcoat,8,25.0,200
LEO,waistcoat,7,25.0,175
PHILIP,waistcoat,38,25.0,950
ANDREW,waistcoat,8,25.0,200
STANLEY,waistcoat,11,25.0,275
HUGO,waistcoat,33,25.0,825
HARCOURT,waistcoat,35,25.0,875
ALBERT,waistcoat,34,26.0,884
EDINA,waistcoat,21,26.0,546
JAMES,trousers,199,33.0,6567
PETER,trousers,139,33.0,4587
JONNY,trousers,33,27.0,891
CUSACK,trousers,13,27.0,351
HOGAN,trousers,12,27.0,324
SHELBY,trousers,3,35.0,105
HERBIE FROGG,trousers,85,40.0,3400
H/FROGG  NAVY,trousers,23,35.0,805
H/FROGG BLACK,trousers,26,40.0,1040
STANLEY,trousers,15,35.0,525
PHILIP,trousers,8,35.0,280
ANDREW,trousers,5,35.0,175
ALBERT,trousers,26,35.0,910
EDINA,trousers,21,35.0,735
SKOPES TUX Trousers,trousers,10,30.0,300
HARCOURT,trousers,40,30.0,1200
BEN TUX PLEAT,shirt,71,21.0,1491
BEN PLAIN,shirt,60,16.0,960
ZZAZI,shirt,41,20.0,820
ATLANTA,shirt,39,21.0,819
PRESTON,shirt,65,20.0,1300
HWI,shirt,680,10.0,6800
HUNT AND HOLDITCH,shirt,8,25.0,200
BENETTI ROBERT,shirt,8,25.0,200
OLYMP,shirt,11,32.0,352
BRAD,shirt,49,21.0,1029
COLIN ROSS,shirt,6,18.0,108
LA SMITH,shirt,6,17.0,102
GALA,shoes,29,23.0,667
POTTON,shoes,27,23.0,621
SOUTHILL,shoes,15,27.5,413
GOOR,shoes,10,21.0,210
ARTHUR,shoes,51,40.0,2040
HARPER,shoes,6,22.0,132
LOUIS,shoes,15,20.0,300
CAMDEN,shoes,32,18.0,576
LOUTH,shoes,8,23.0,184
FALCON,shoes,43,22.0,946
DAVID,shoes,11,21.0,231
BRACES,accessory,16,10.0,160
PAISLEY BOWS,accessory,22,6.0,132
PLAIN BOWS,accessory,32,6.0,192
ASSORT BOWS,accessory,84,6.0,504
PLAIN BLACK BOWS,accessory,115,6.5,748
PAISLEY TIES,accessory,562,6.95,3906
PLAIN TIES,accessory,105,6.0,630
ASSORT TIES,accessory,261,6.0,1566
VELVET BOWS,accessory,10,7.5,75
SELF TIE,accessory,5,8.0,40
HUNTER OAK  TIES,accessory,7,7.5,53
TIE CLIPS,accessory,3,6.0,18
SCARFS,accessory,3,5.0,15
BELTS,accessory,99,10.0,990
HANKS,accessory,6,3.0,18
